Kelime,Anlam No,Anlam,Örnek Cümle
yüz,1,surat (yüz organı),anlatıldığı filmde sandler'ın şapşal yüz ifadesi daha önce su satıcısında çok net görmüştük hiç değişmiyor
yüz,1,surat (yüz organı),pozisyonun hemen ardından topsuz alanda ceza alanı içinde birbirlerinin yüzlerine tükürdükleri gözlendi
yüz,1,surat (yüz organı),hükümet üyelerinin yüzlerinin asıldığı gözlemlendi
yüz,1,surat (yüz organı),bir yıl sonra asık yüzlü büyükbabasının teksas'taki çiftliğini terk ederek fort worth'daki annesinin yanına giden gemma adlı genç kızı canlandırdığı square dance gelir
yüz,1,surat (yüz organı),ve yüz ifadeleri
yüz,1,surat (yüz organı),"Yüz tanıma, Biyometri kişilerin fiziksel ve davranışsal özelliklerini göz önüne alarak yürütülen kimlik belirleme çalışmaları olarak tanımlanır."
yüz,1,surat (yüz organı),"Daha genel anlamda, biyometri bilişim teknolojilerinin bir parçası olup, insanların fiziksel özelliklerini ve davranış biçimlerini irdeleyip kişiyi tanıma amaçlı ipuçları çıkaran bir bilim dalıdır."
yüz,1,surat (yüz organı),"Face ID, Apple tarafından tasarlanmış ve piyasaya sunulan bir yüz tanıma sistemidir ve iPhone X’de yer almıştır."
yüz,1,surat (yüz organı),"Face ID, bir yüz üzerinde 30 000’den fazla kızılötesi nokta yansıtır ve bir 3B örgü üretir."
yüz,1,surat (yüz organı),"Bu sistemler, parmak izi, yüz, göz, ses ve damar örüntüsü gibi çeşitli biyolojik veri türlerini tarayarak ve analiz ederek çalışır."
yüz,1,surat (yüz organı),Görüntü alma süreçlerinde derinlik algılama ve yapay zekâ destekli yüz tanıma teknolojileri kullanılarak cihazda kimlik doğrulama işlemlerini gerçekleştirir.
yüz,1,surat (yüz organı),"Uygulama Alanları: Yüz tanıma sistemleri, ses tanıma sistemleri, araçlarda otopilot özelliği ve sürücüsüz kendi kendine giden araçlar, alarm sistemleri gibi teknolojiler derin öğrenme sayesinde mümkün olmaktadır."
yüz,1,surat (yüz organı),"Yüz maskesi, kremsi veya macun kıvamında bir kozmetik maskedir."
yüz,1,surat (yüz organı),Temizleme veya cilt yumuşatma amacıyla yüze uygulanır.
yüz,1,surat (yüz organı),"Yüz maskeleri genellikle mineraller, vitaminler, sebze ve meyve özleri içerir."
yüz,1,surat (yüz organı),"Yüzün bir tarafında yüz ifadeleri oluşturamama, bu kasların sinirinin ilk hasar belirtisi olabilir."
yüz,1,surat (yüz organı),"Fasiyal sinirin hasar görmesi, ilgili taraftaki yüz ifadesi kaslarının felci ile sonuçlanır."
yüz,1,surat (yüz organı),İnsan yüzünün görünürdeki hareketleri mimik olarak tanımlanmaktadır (yüz ifadesi veya yüz ifadesel oyunlar olarak da adlandırılır).
yüz,1,surat (yüz organı),Yüz kaslarının her bir hareketi saliseler içinde değiştiği için çoğu durumda her bir mimikten ortak bir ifade ortaya çıkmaktadır.
yüz,1,surat (yüz organı),"Yüzün ifadesi, mimik kaslarının kaynaşmasına dayanmaktadır."
yüz,1,surat (yüz organı),"Paul Ekman (d. 15 Şubat 1934), insan duyguları ve bunların yüz ifadeleri (mimikler) üstündeki etkileriyle ilgili yaptığı çalışmalarıyla öncü olan bir psikologdur."
yüz,1,surat (yüz organı),Normal yüz ifadeleri gibi taklit edilmeleri ve gizlenmeleri neredeyse imkânsızdır fakat çok kısa sürede olup bittikleri veya bir başka yüz ifadesinin altında anlık olarak ortaya çıktıkları için gözleri eğitilmemiş veya doğal yeteneği olmayan kişilerin dahi bunları yakalaması zordur.
yüz,1,surat (yüz organı),"1997 yılında Smiley Şirketi’nin CEO’su Nicolas Loufrani, ASCII yüz ifadelerinin mobil teknolojide her geçen gün daha fazla kullanıldığını fark etmiş ve düz noktalama işaretlerinden meydana gelen mevcut ascii yüz ifadelerine karşılık, dijital ortamda daha fazla etkileşimli kullanım sağlayacak, daha renkli simgeler yaratmak amacıyla animasyonlu Smiley yüz ifadeleriyle denemeler yapmaya başlamıştır."
yüz,1,surat (yüz organı),"2000 yılında, Loufrani tarafından yaratılan Yüz İfadesi Dizini, kullanıcıların 1000 üzerinde Smiley grafikli yüz ifadelerini ve bunların ascii sürümlerini smileydictionary.com sitesi üzerinden cep telefonlarına indirmeleri sağlanmıştır."
yüz,1,surat (yüz organı),Dünya üzerinden milyonlarca yüz tipi bulunmaktadır.
yüz,1,surat (yüz organı),"Her yüz özel olduğundan, her burun da özeldir."
yüz,1,surat (yüz organı),"Dolayısıyla iyi bir burun estetiğine ulaşmada önemli kriterlerden bir tanesi de, ortaya çıkan burun yapısının yüz hatları ile uyumluluğudur."
yüz,1,surat (yüz organı),Burun estetiğinde kişiye uygun burun şekli belirlenirken simetri ve orantının yanında kişinin yüz tipi de dikkate alınır.
yüz,1,surat (yüz organı),"Yüz tipinizse yüzünüzün şekline, yaşınıza, cinsiyetinize, etnik kökeninize ve hatta kişiliğinize bağlı olarak değişkenlik gösterebilir."
yüz,1,surat (yüz organı),Burundaki fiziksel ve işlevsel sorunları giderip yüzün doğal bir görünüme kavuşarak güzelleşmesini sağlamak estetik operasyonun temel amacıdır.
yüz,1,surat (yüz organı),Burnun nefes alma işlevini en sağlıklı hale getirirken görünümünü de yüzün diğer ögeleriyle uyumlu hale getirilmelidir.
yüz,2,sayı (100 rakamı),makarna üç yüz gr.
yüz,2,sayı (100 rakamı),patlıcan yüz gr.
yüz,2,sayı (100 rakamı),ince uzun makarna iki yüz gr.
yüz,2,sayı (100 rakamı),dondurulmuş bezelye iki yüz gr.
yüz,2,sayı (100 rakamı),makarna iki küçük kabak iki taze soğan yüz elli gr.
yüz,2,sayı (100 rakamı),göney toplumumuzda her yıl yaklaşık iki yüz bin yeni kanser hastası teşhis ediliyor türkiye'de en az iki milyon insan kanser riski altında bulunuyor diye konuştu sebebi henüz bilinmeyen hastalığın bilinen en önemli nedenini hücrelerin devamlı tahrişinin oluşturduğunu bildiren prof.
yüz,2,sayı (100 rakamı),muhtelif iller ve gelişmiş yöre bilgi işlem otomasyon projesi için iki trilyon dört yüz yetmiş iki milyar yetmiş dokuz milyon lira yatırım tutarlı teşvik belgesi aldı yataş yatak ve yorgan sanayi ticaret a.ş.
yüz,2,sayı (100 rakamı),kolayca sürülen cilt üzerinde ince ve hafif bir film tabakası oluşturan fondötende renk seçeneği beşinci yağsız formülü on koruma faktörü içeren fondötenin fiyatı ise yedi milyon dokuz yüz elli bin tl.
yüz,2,sayı (100 rakamı),bin dokuz yüz doksan iki yılında sırp'ların kenti ele geçirdiğini kendisine defalarca tecavüz ettikten sonra bir kızla birlikte karadağ'lı iki kişiye satıldığını anlattı sırplar foca kentini ele geçirdikleri gün a.s.
yüz,2,sayı (100 rakamı),ile işlerini bitirdiklerinde onu beş yüz alman markı ve bir kamyon dolusu deterjan karşılığında bir kızla birlikte iki karadağ'lıya sattılar bir süre kafelerde garson olarak çalışan a.s.
yüz,2,sayı (100 rakamı),lawrence adlı filminde kötü adamı canlandırdı tiplemesinden başka şekilde görmek istememesiydi bin dokuz yüz seksen üçte oshima'nın merry christmas mr.
yüz,2,sayı (100 rakamı),breuer deutsche bank türkiye şubesinin açılışını yapacak vergi öncesi bin dokuz yüz doksan dokuz karı olan üç nokta yedi milyar dolarla dünyanın en büyük üç bankasından biri olan deutschebank türkiye'ye en fazla kredi açan bankaların başında geliyor dr.
yüz,2,sayı (100 rakamı),barka araştırmalarda son beş yüz yılda meydana gelen deprem kayıtlarını incelediklerini ve bunu bin beş yüz yıla yayarak sonuca ulaştıklarını söyledi prof.
yüz,2,sayı (100 rakamı),barka çalışmalarının birkaç boyutunun bulunduğunu araştırma grubundaki bazı bilim adamlarıyla bin dokuz yüz doksan üçten beri bazılarıyla da son dört yıldır ortak çalıştıklarını bildirdi bir gazetecinin otuz yıl içinde mutlaka şiddetli bir deprem bekleyecek miyiz şeklindeki sorusu üzerine prof.
yüz,2,sayı (100 rakamı),barka bin sekiz yüz doksan dört yılından bu yana istanbul civarında büyük bir deprem yaşanmadığını da sözlerine ekledi prof.
yüz,2,sayı (100 rakamı),can gürbüz her yüz meme kanseri olgusundan bir tanesi erkek dedi benzin ve dizel yakıtlarının kokusunun erkeklerde meme kanseri riskini artırdığı ileri sürüldü türk meme hastalıkları ve meme kanseri vakfı tümkan başkanı dr.
yüz,2,sayı (100 rakamı),gürbüz her yüz meme kanseri olgusundan bir tanesi erkek dedi dr.
yüz,2,sayı (100 rakamı),bin iki yüz yıllarında terme çayı kıyısında yaşayan kadın savaşçılar amazonlar'dan kalma bulgular aranıyor kazı çalışmalarında bulunan kemik ve taş kalıntıları incelenmek üzere samsun müzesi'ne gönderildi yirmi sekiz nisan samsun'un terme ilçesinde m.ö.
yüz,2,sayı (100 rakamı),perry adındaki bir kişi uğradığı haksızlığın anlaşılması sonucunda doksan sekiz yaşında lise diplomasına kavuştu liseyi bin dokuz yüz on sekiz yılında bitirmesine bir kaç gün kala okul müdürü ile münakaşa eden arkadaşlarının tarafını tutan leon y.
yüz,2,sayı (100 rakamı),wang toplam altı yüz elli nokta bir milyon dolar gelir ile birinci oldu aynı şekilde bin dokuz yüz doksan sekiz sıralamasında ilk onda yer almayan foundry networks yönetim kurulu başkanı bobby r.
yüz,2,sayı (100 rakamı),johnson da geçen yılki iki yüz otuz nokta beş milyon dolar geliriyle ikinci sırada yer aldı rapora göre cbs firmasının başkanı mel karmazin iki yüz bir nokta dokuz milyon dolar gap başkanı millard drexler yüz yetmiş iki nokta sekiz milyon dolar cisco'nun yöneticisi john t.
yüz,2,sayı (100 rakamı),chambers yüz yirmi bir nokta yedi milyon dolar american online firması başkanı stephen m.
yüz,2,sayı (100 rakamı),case yüz on yedi nokta bir milyon dolar ıbm'nın başkanı louis v gerstner yüz yedi nokta iki milyon dolar general electric'in yönetcisi john f.
yüz,2,sayı (100 rakamı),a tipi karma fonu'nun tutarının iki yüz milyar liradan bir trilyon iki yüz milyar liraya demir yatırım menkul değerler a.ş.
yüz,2,sayı (100 rakamı),a tipi karma fonu ile başlangıç tutarı beş yüz milyar lira olan meksa yatırım menkul değerler a.ş.
yüz,2,sayı (100 rakamı),cihangir özkınay insan ömrünün iki bin elli yılında yüz otuza ulaşacağını söyledi ege ve dokuz eylül üniversisi ile tıbbi genetik derneği tarafından düzenlenen dördüncü ulusal prenatal tanı ve tıbbi genetik kongresi'nde konuşan prof.
yüz,2,sayı (100 rakamı),necdet sezer iki yüz seksen bir üç yüz on dört nevzat yalçıntaş altmış bir altmış altı sadi somuncuoğlu elli sekiz otuz iki yıldırım akbulut elli altı seksen sekiz doğan güreş otuz beş yirmi iki ahmet iyimaya on çekildi a.
yüz,2,sayı (100 rakamı),yıldız saraçlar astımın ölümle sonuçlanan bir hastalık olduğunu vurgulayarak dünyada her yıl yüz seksen bin kişinin astımdan öldüğünü kaydetti astım hastalarının zamanında tanı ve uygun tedavi olanaklarına kavuşmasının gerekliliğine dikkati çeken prof.
yüz,2,sayı (100 rakamı),yüz bir hakan ünsal yüz on bir mehmet yüz on üç hakan şükür galatasaray dk.
yüz,2,sayı (100 rakamı),dört ildeki tesislerinde toplam yüz bir nokta üç trilyon liralık modernizasyon yatırımına gidecek türkiye'nin beyaz eşya devi konumundaki arçelik a.ş.
yüz,2,sayı (100 rakamı),bin dokuz yüz yetmiş yılında kurulan aydıner inşaat a ş'ye bağlı şirketlerden biri aydıner a.ş.
yüz,2,sayı (100 rakamı),söz konusu paranın iki yüz bin dolarıyla istanbul şişli'de bir daire aldığını yüz kırk bin dolarını s.
yüz,2,sayı (100 rakamı),alankuş'a verdiğini öne sürerek sekiz yüz bin dolarına ise garanti bankası'nın malta adasında bulunan şubesinde off shore hesabı açtırdığını kaydetti b.
yüz,2,sayı (100 rakamı),malta'da bulunan paranın beş yüz kırk bin dolarını ise daha sonra s.
yüz,2,sayı (100 rakamı),uyku seti çift kişilik altmış beş milydn yedi yüz elli bin tl.
yüz,2,sayı (100 rakamı),adlı kişiler gözaltına alındı sahte raporlar için beş yüz ila altı yüz milyon lira arasında ödeme yapıldığı bildirildi bu kişilerle birlikte hareket ettiği belirtilen doktor r.y.
yüz,2,sayı (100 rakamı),sezer hala iki yüz seksen bir oyda kaldı eğer çok büyük bir talihsizlik olmazsa sn.
yüz,2,sayı (100 rakamı),ve h.a arvin'e dönmek için yolda sedat kalyoncu'nun kırk üç kullandığı sıfır sekiz af yüz yetmiş dokuz plakalı kamyonete bindiler iddiaya göre genç kıza sürücü ile araçta bulunan atilla kaya yirmi önce sözlü sonra elle tacizde bulundu bu duruma tepki göstererek araçtan inen s.s.
yüz,2,sayı (100 rakamı),on iki milyon sekiz yüz seksen beş bin yüz doksan beş türk ekonomi bankası ist bankacılık on iki milyon üç yüz seksen beş bin altı yüz doksan sekiz devlet hava meydanları ank havaalanı işl.
yüz,2,sayı (100 rakamı),beş milyon üç yüz doksan dokuz bin altı yüz elli iki açıklanmadı ist deterjan imalatı beş milyon iki yüz otuz dokuz bin otuz bir toprakbank ist bankacılık beş milyon yüz seksen bir bin yüz otuz sekiz ericsson ist iletişim hizm.
yüz,2,sayı (100 rakamı),ist iştirak kaz üç milyon yüz kırk altı bin beş yüz yirmi dokuz ihlas holding ist holding üç milyon yüz on üç bin iki yüz yetmiş bir bossa adana tekstil üç milyon yüz on üç bin yetmiş bir ıng.
yüz,2,sayı (100 rakamı),bank n.v ist bankacılık üç milyon yüz bin yüz elli yedi t.
yüz,2,sayı (100 rakamı),ist deniz taşımacılığı üç milyon altmış beş bin üç yüz on yedi simko tic.
yüz,2,sayı (100 rakamı),yüz yedi gürkan x sabri ömer recep mehmet ankara demirspor sunay suat maksut alper özkan mehmet serkan kazım dk.
yüz,2,sayı (100 rakamı),yüz on iki şefik x satılmış x dk.
yüz,2,sayı (100 rakamı),yüz trilyon yimpaş holding a.ş.
yüz,2,sayı (100 rakamı),yüz elli trilyon gen pa genel pazarlama san ve tic.
yüz,2,sayı (100 rakamı),manchester united üç üç arif kubilay iki bin dokuz yüz doksan dokuz sıfır sıfır uefa leeds united iki sıfır hakan ş.
yüz,2,sayı (100 rakamı),iki yıl önce babası tarafıdan evli bir erkeğe iki yüz elli milyon tl başlık parası karşılığı verildi babası iki yüz elli milyona sattı para karşılığı evli bir erkekeğe imam nikahıyla verilen on altı yaşındaki s.a.
yüz,2,sayı (100 rakamı),bir sosyal hizmet kurumunda koruma altına alındı akseki'nin cevizli beldesindeki bir ilköğretim okulunda hizmetli olarak görev yapan otuz yedi yaşındaki abdülsamet turan'a iki yüz elli milyon lira başlık parası karşılığı imam nikahı yapılarak verilen s.a.
yüz,3,yüzmek (suda ilerlemek),yüksek tempoda yürüyüş yüzmek bisiklete binmek koşmak idealdir
yüz,3,yüzmek (suda ilerlemek),yüzme atlama ve sutopu federasyonu tarafından düzenlenen yaz kupası türkiye yüzme şampiyonası karşılaşmalarında madalyalar sahiplerini buldu
yüz,3,yüzmek (suda ilerlemek),ataköy açık ve kapalı yüzme havuzları'nda gerçekleştirilen organizasyona kırk sekiz kulüpten yedi yüz seksen sporcu katılırken mevsim normallerinin üzerindeki sıcaklara rağmen seyirciler yarışlara büyük ilgi gösterdi
yüz,3,yüzmek (suda ilerlemek),on beş temmuz yüzme atlama ve sutopu federasyonu tarafından düzenlenen yaz kupası türkiye yüzme şampiyonası karşılaşmalarında madalyalar sahiplerini buldu
yüz,3,yüzmek (suda ilerlemek),en sağlıklı spor yüzme özellikle şişmanlar çocuklar ve yaşlılar için ideal bir egzersiz
yüz,3,yüzmek (suda ilerlemek),daha iyi ve daha uzun yaşamımızı sağlayan yüzme özellikle şişmanlar için ideal bir spordur çünkü diğer bütün sporlardan daha çabuk sürede kilo vermeye yardımcı olur
yüz,3,yüzmek (suda ilerlemek),uzmanların önerisi haftada en az üç saat yüzmek
yüz,3,yüzmek (suda ilerlemek),on dokuz temmuz milli yüzücü derya büyükuncu sydney olimpiyat oyunları'nda ilk hedefinin yarı final ve en iyi dereceyi yüzmek olduğunu söyledi
yüz,3,yüzmek (suda ilerlemek),hedefim en iyi derecemi yüzmek ondan sonrası kendi kendine gelir
yüz,3,yüzmek (suda ilerlemek),istanbul'da yüzmek amacıyla sazlıdere baraj gölüne girdikten sonra kaybolan üç çocuğun cesetleri bulundu
yüz,3,yüzmek (suda ilerlemek),"olimpiyatlara kasabasındaki nehirde yüzerek ve yalnızca altı haftalık bir çalışmadan sonra katılan paula barila bolopa eric ile birlikte timsahlar arasında nehirde yüzmek nasıl bir duygu biçiminde yöneltilen soruları bu doğru değil
benim kasabamdaki nehirde timsah yok diye yanıtladı"
yüz,3,yüzmek (suda ilerlemek),taslağın yasallaşması için mücadalelerini sürdüreceklerini söyleyen uslu çağdaşlık adına neredeyse postumuzu yüzmek istiyorlar
yüz,3,yüzmek (suda ilerlemek),iki ayağı da protezli olan ali uzun bugüne dek iki yarışmada yüzdü
yüz,3,yüzmek (suda ilerlemek),sydney su sporları merkezi'ndeki yarışta uzun üç ay önce danimarka'daki dünya şampiyonasında elde ettiği bir yirmi dört elli yedilik derecesinden daha iyi yüzdü
yüz,3,yüzmek (suda ilerlemek),bacaklarını kullanamadan yüzdüğü için ali'nin bu sınıfta elde ettiği derece kendisi ile aynı konumda olan sporcuların yarıştığı s yedide kesinlikle madalya elde edecek bir sonuçtu diye konuştu.
yüz,3,yüzmek (suda ilerlemek),akdeniz'deki havadan hoşlanabiliriz ama bir süre sonra manş denizinde buzulların yüzdüğüne tanık olabiliriz diyor
yüz,3,yüzmek (suda ilerlemek),anlıyorsunuz değil mi yüzsek diyorum
yüz,3,yüzmek (suda ilerlemek),keşke hep böyle kekik kokulu koylarda yüzsek okusak yazsak ne güzel olurdu hayat
yüz,3,yüzmek (suda ilerlemek),kekik kokularına doğru yüzüyorum
yüz,3,yüzmek (suda ilerlemek),ormanların içinde yüzme havuzlu ve sosyal tesisli iki tipte toplam on bir adet villa
yüz,3,yüzmek (suda ilerlemek),denize girildiğinde yüzme rahatlığı sağlayan ıslanınca vücuda yapışmayan ve hemen kuruyan burkini'ler bize pek yabancı değil bildiğimiz tesettür mayosu
yüz,3,yüzmek (suda ilerlemek),tarasımcı zanetti sydney'deki müslüman kadınları burkini ile yüzmenin günah olmadığına ikna etmek için bir yıl uğraştığını söylüyor
yüz,3,yüzmek (suda ilerlemek),bu arada yeni yılın ilk günü geleneksel olarak lahey'deki scheveningen sahilinde yapılan yüzme ve dalış rüzgarın etkisiyle denizin çok dalgalı olmasından ötürü ertelendi
yüz,3,yüzmek (suda ilerlemek),balık tutmaya dalmaya denize yüzmeye güneşin batışına aşığım
yüz,3,yüzmek (suda ilerlemek),beyaz konut'dan parlamenterler sitesi'nde açık kapalı yüzme havuzu fitnes sauna cafe restorant bay bayan kuaförü çocuk oyun alanları kapalı otopark
yüz,3,yüzmek (suda ilerlemek),sahibinden çekmeköy taşdelen'in merkezinde yüzme havuzlu otoparklı barbekülü güvenlikli beş bir dublex daire yüz doksan beş bin ytl sıfır iki yüz on altı bin dört yüz elli altı yirmi yedi sıfır sekiz sıfır iki yüz on altı bin dört yüz elli altı yirmi yedi sıfır dokuz sıfır beş yüz kırk dört bin beş yüz altmış bir otuz yedi on bir
yüz,3,yüzmek (suda ilerlemek),yakın dört yüzm2 bahçe içinde yüzme havuzlu villalar
yüz,3,yüzmek (suda ilerlemek),akademisyen'den yılın ilk kampanyası beylikdüzü gürpak evleri arayın kırk beş bin ytl kazançlı çıkın hemen tapu hemen teslim dört katlı deniz manzaralı yüzme havuzlu lüks daireler satış ofisi
yüz,3,yüzmek (suda ilerlemek),sahibinden beylikdüzü beyaz resıdence dört bir ultra lüx yüzme havuzlu sıfır daire sıfır beş yüz beş bin üç yüz on dört elli beş yirmi altı
yüz,3,yüzmek (suda ilerlemek),yunuslarla yüzmenin muhteşem ve anlatılmaz bir duygu olduğunu belirten tan on altı yaşındaki melis'in over dose'dan ölümü herkesin dikkatini bir kez daha madde bağımlılığı gerçeğine çekti
yüz,3,yüzmek (suda ilerlemek),yüzmede su topunda uluslararası başarılara imza atan ve türkiye'yi olimpiyatlarda temsil eden istanbul yüzme ihtisas kulübü zor durumda
yüz,3,yüzmek (suda ilerlemek),oğuzhan tüzün dokuz sıfır sıfır yüzmede
yüz,3,yüzmek (suda ilerlemek),soğuk suda yüzerken olduğu gibi vücudun büyük kısmının soğuğa maruz kalması durumunda tansiyon düşüklüğü bayılma ve ölüme kadar gidebilen yaygın reaksiyonlar da gelişebilir
yüz,3,yüzmek (suda ilerlemek),askerler botlarda ya da sahile yüzerken vuruluyorlardı
yüz,3,yüzmek (suda ilerlemek),avustralya'nın ünlü timsah avcısı programı yapımcısı steve ırwin de bir belgesel çalışması sırasında vatozların üstünde yüzerken dikenli bir vatozun göğsünden sokması sonucu ölmüştü
yüz,3,yüzmek (suda ilerlemek),yüzerek kıyıya çıkmaya çalışan yirmi altı kaçak bölgeye giden sahil güvenlik ekipleri jandarma ve çevredeki vatandaşlar tarafından denizden sağ olarak kurtarıldı
yüz,3,yüzmek (suda ilerlemek),gelecek darbelerle yüzmekten vazgeçip okyanusun dibini boylamak değil yüzmek
yüz,3,yüzmek (suda ilerlemek),sonbaharda yüzmek istiyorum diyorsanız kıbrıs tam size göre
yüz,3,yüzmek (suda ilerlemek),bebek içinde yüzdüğü suyun içinde hafif hafif hareket etmeye başlar
yüz,3,yüzmek (suda ilerlemek),ayrıca içinde yüzdüğü amniyon sıvısını akciğerlerine çekmekte ve geri vermektedir
yüz,3,yüzmek (suda ilerlemek),tuğba erbil bir uzman eşliğinde spor yaptığını yürüdüğünü ve yüzdüğünü de dile getirdi
yüz,3,yüzmek (suda ilerlemek),yüzerek zayıflamış
yüz,3,yüzmek (suda ilerlemek),kilo vermenin ve sağlıklı zayıflamanın yolu bence yüzmek bunun kanıtı benim
yüz,3,yüzmek (suda ilerlemek),yüzerek gitmek daha bile tercih edilir olabilir acele koşma hızıyla kalamış marin'e gidilip yarım parmak vana alındı
yüz,3,yüzmek (suda ilerlemek),sürat iki nokta dört mil ve sudakiler tekneyi yüzerek sollamaktalar
yüz,3,yüzmek (suda ilerlemek),boğulma tehlikesi geçiren bir kazazede yüzerek nasıl kurtarılır
yüz,3,yüzmek (suda ilerlemek),arkadan yaklaşarak kazazede geriye doğru yatırılır çene altı avuç içerisinde olmak üzere sıkıştırılarak tutulur kurtarıcı tek koluyla yüzerek kazazedeyi çeker
yüz,3,yüzmek (suda ilerlemek),murat güler manş denizi'ni yüzerek geçen ilk türk yüzücüsü oldu
yüz,3,yüzmek (suda ilerlemek),nesrin olgun manş denizi'ni yüzerek geçen ilk türk kızı oldu
yüz,3,yüzmek (suda ilerlemek),bin dokuz yüz yetmiş dokuz nesrin olgun manş denizi'ni yüzerek geçen ilk türk kızı oldu
çal,1,hırsızlık yapmak,"Şüphelilerden Poyraz G., A.K.’nin otomobilinin kilitli olmayan kapısını açıp, içerisinde 120 bin lira değerinde para ve altın bulunan çantayı çaldı."
çal,1,hırsızlık yapmak,"Şüpheliler, aynı gün 2 ayrı otomobilden 70 bin lira ile 1.000 euro daha çaldı."
çal,1,hırsızlık yapmak,"Şüphelilerin 22 Mayıs’ta da M.E.’nin park halindeki otomobilinden, 260 bin lira değerinde altın ve ziynet eşyası çaldığı belirlendi."
çal,1,hırsızlık yapmak,"Batman’da 3 şüpheli, park halindeki otomobili iterek çaldı."
çal,1,hırsızlık yapmak,İstanbul’da 4 şüpheli park halindeki otomobili düz kontak yaparak çaldı.
çal,1,hırsızlık yapmak,"Bursa’nın Yenişehir ilçesinde S.Ç. isimli şüpheli, park halindeyken çaldığı otomobille yakalandı."
çal,1,hırsızlık yapmak,"Mersin’de sokakta park halindeki otomobili iterek çalan 2 şüpheli, yakalandı."
çal,1,hırsızlık yapmak,"Olayı araştıran polis ekipleri, otomobili çalan şahısların K.Y. ve D.N. olduğunu belirledi."
çal,1,hırsızlık yapmak,"Adana’da bir iş yeri sahibini oyalayıp, çantasındaki değerli eşyaları çaldı."
çal,1,hırsızlık yapmak,"İstanbul’un Arnavutköy ilçesinde bir eve giren 2 kadın, evde bulunan yaklaşık 500 bin TL değerindeki altını çalarak kayıplara karıştı."
çal,1,hırsızlık yapmak,"Hırsızlar, açık bırakılan pencereden evlerine girip, eşinin altın ve parasını çaldı."
çal,1,hırsızlık yapmak,Hırsız uzun süre çaldığı paranın keyfini süremedi.
çal,1,hırsızlık yapmak,Küçükçekmece’de sitede 2 daireye giren şüpheliler yaklaşık 4 milyon TL değerinde ziynet eşyası çaldı.
çal,1,hırsızlık yapmak,"Koçarlı ilçesinde evden altın ve para çalan 3 hırsız, jandarma tarafından yakalandı."
çal,1,hırsızlık yapmak,Pencere korkuluğundan giren hırsız 50 bin liralık altın çaldı.
çal,1,hırsızlık yapmak,"Bursa’da bir dükkana giren hırsız, birçok elektronik eşya çaldı."
çal,1,hırsızlık yapmak,"Diyarbakır’da bir dükkanın duvarını kırıp içeri giren hırsızlar, yaklaşık 50 bin TL’lik malzeme çaldı."
çal,1,hırsızlık yapmak,Bursa’nın İnegöl ilçesinde çiçekçi dükkanının önüne bırakılan çiçekleri kadın şüpheli çaldı.
